DSIN,20210930,1055.05,1058.41,1036.29,1036.43,373713700
DSIO,20210930,129.57,129.57,127.19,127.2,25574300
DSIP,20210930,1048.17,1052.12,1029.53,1029.56,20750600
DSIQ,20210930,2920.51,2926.87,2832.32,2832.76,50173300
DSIR,20210930,814.17,816.51,800.52,800.54,63751800
DSIS,20210930,931.81,938.58,923.46,925.06,83844000
DSIT,20210930,1529.41,1535.08,1498.61,1498.85,32728400
DSIU,20210930,347.03,348.26,341.63,341.68,6260800
DSIV,20210930,1087.88,1091.37,1071.77,1072.77,22797300
DSIX,20210930,782.03,784.34,768.96,768.99,40882700
DSLE,20210930,842.41,846.47,838.47,838.84,66974200
DSLG,20210930,2629.35,2629.89,2561.46,2564.13,7134900
DSLW,20210930,1574.24,1576.66,1550.21,1550.28,0
DSMC,20210930,2368.4,2384.27,2328.03,2328.51,98357700
DSME,20210930,1326.07,1333.11,1313.8,1315.14,233910200
DSMF,20210930,8.63,8.64,8.45,8.45,11017000
DSMG,20210930,111.34,113.13,111.21,111.3,9083800
DSMR,20210930,43.3,43.44,42.77,42.78,33413800
DSMS,20210930,1495.22,1506.11,1465.43,1465.67,6770300
DSMT,20210930,161.43,163.34,157.36,157.43,561900
DSMU,20210930,224.79,224.95,221.9,221.95,13061300
DSNC,20210930,923.55,925.14,907.35,907.44,427142600
DSNF,20210930,442.91,451.47,435.15,435.15,23041600
DSNG,20210930,1005.42,1007.96,981.9,982.01,208176800
DSNS,20210930,3602.56,3628.21,3587.08,3591.06,81151900
DSOG,20210930,503.44,505.41,496.52,496.59,234360300
DSOI,20210930,184.77,184.77,180.01,181.19,43002300
DSOL,20210930,435.33,436.36,427.55,427.6,65742600
DSOQ,20210930,282.6,282.98,277.42,278.21,79377500
DSOS,20210930,630.62,635.72,621.89,624.9,168617700
DSPB,20210930,655.32,657.73,647.42,647.42,6330800
DSPC,20210930,441.11,442.91,433.71,433.71,4436700
DSPG,20210930,872.67,875.19,856.09,856.2,82920900
DSPL,20210930,604.03,606.5,596.58,596.64,36375200
DSPM,20210930,120.17,122.05,119.89,120.12,7298300
DSPN,20210930,1029.76,1038.95,1021.42,1021.68,176217700
DSPR,20210930,713.07,719.23,704.05,704.3,84433200
DSRA,20210930,1207.29,1207.29,1145.71,1145.9,59747400
DSRB,20210930,3406.98,3416.93,3362.43,3369.79,19181200
DSRD,20210930,823.95,825.1,794.98,794.98,14046500
DSRE,20210930,406.49,406.49,398.57,398.58,175218600
DSRH,20210930,737.19,739.13,728.29,733,14843000
DSRI,20210930,165.2,165.2,161.82,161.82,160375500
DSRL,20210930,95.83,95.83,93.12,93.12,19205500
DSRN,20210930,287.86,287.98,282.14,282.33,15935900
DSRP,20210930,647.9,649.44,625.44,625.53,4990000
DSRQ,20210930,107.6,107.6,105.53,106.17,46478000
DSRR,20210930,3019.2,3021.78,2939.81,2939.95,16250000
DSRS,20210930,2920.56,2927.61,2859.97,2863.29,100818000
DSRT,20210930,2190.47,2191.35,2150.66,2151.46,227799700
DSRU,20210930,2529.16,2537.49,2494.13,2494.24,19290900
DSSB,20210930,1916.34,1919.34,1868.95,1869.65,36644000
DSSC,20210930,7468.9,7527.17,7414.91,7414.91,173351700
DSSD,20210930,813.48,814.85,801.13,801.18,31527000
DSSF,20210930,509.25,510.1,497.34,497.55,39053800
DSSP,20210930,570.82,573.03,561.74,561.91,15163000
DSSR,20210930,281.17,281.28,275.32,275.32,56178600
DSST,20210930,362.71,368.27,357.31,357.35,40498100
DSSV,20210930,5176.55,5210.76,5142.22,5144.97,305587300
DSSW,20210930,5408.84,5446.01,5359.36,5365.6,207336900
DSTB,20210930,733.63,733.63,692.63,695.32,26902000
DSTC,20210930,4223.42,4246.61,4186.82,4187.54,661479200
DSTK,20210930,1371.82,1383.05,1345.53,1345.71,7088200
DSTL,20210930,163.75,163.83,161.82,161.82,68876600
DSTP,20210930,1080.76,1082.87,1065.38,1065.46,0
DSTQ,20210930,3717.34,3733.83,3671.6,3672.42,355891800
DSTS,20210930,363.21,369.36,360.93,363.71,984800
DSTT,20210930,834.9,841.26,824.55,832.34,26524100
DSTY,20210930,1189.17,1203.38,1184.05,1192.72,61984200
DSUO,20210930,322.27,322.28,317.97,318.03,23012200
DSUT,20210930,319.15,319.29,315.05,315.33,118245300
DSVE,20210930,304.18,304.37,300.19,300.68,95233100
DSVN,20210930,480.01,482.16,471.3,471.46,2084000
DSWC,20210930,394.56,394.67,391.07,391.12,23400100
DSWU,20210930,3489.3,3493.56,3436.91,3438.11,1513400
DTCI,20210930,2139.5,2147.98,2104.22,2104.24,0
DTEI,20210930,2606.39,2606.39,2552.14,2552.17,0
DTFD,20210930,15,25,0.01,0.01,0
DTFI,20210930,50,50,40,45,0
DTFX,20210930,125.5,125.91,125.33,125.75,0
DTOF,20210930,30,30,15,20,0
DTOH,20210930,25,25,20,20,0
DTTH,20210930,45,45,35,35,0
DTTW,20210930,40,40,35,40,0
DTWC,20210930,26610.58,26705.21,26200.81,26205.76,0
DTWI,20210930,80641.18,81022.56,79339.01,79359.02,0
